"gemeente","dwel_type","class_2","class_1","class_3"
"Hillegom","tussenwoning",3250,2600,3900
"Hilvarenbeek","tussenwoning",3400,2720,4080
"Hilversum","tussenwoning",3100,2480,3720
"Hof van Twente","tussenwoning",3250,2600,3900
"Hollands Kroon","tussenwoning",3150,2520,3780
"Hoogeveen","tussenwoning",3050,2440,3660
"Hoogezand-Sappemeer","tussenwoning",2900,2320,3480
"Hoorn","tussenwoning",3200,2560,3840
"Horst aan de Maas","tussenwoning",3550,2840,4260
"Houten","tussenwoning",3600,2880,4320
"Huizen","tussenwoning",3350,2680,4020
"Hulst","tussenwoning",2600,2080,3120
"IJsselstein","tussenwoning",3650,2920,4380
"Kaag en Braassem","tussenwoning",3400,2720,4080
"Kampen","tussenwoning",2950,2360,3540
"Kapelle","tussenwoning",2950,2360,3540
"Katwijk","tussenwoning",3550,2840,4260
"Kerkrade","tussenwoning",3300,2640,3960
"Koggenland","tussenwoning",3250,2600,3900
"Kollumerland en Nieuwkruisland","tussenwoning",2600,2080,3120
"Korendijk","tussenwoning",3000,2400,3600
"Krimpen aan den IJssel","tussenwoning",3250,2600,3900
"Laarbeek","tussenwoning",3350,2680,4020
"Landerd","tussenwoning",3450,2760,4140
"Landgraaf","tussenwoning",3300,2640,3960
"Landsmeer","tussenwoning",3450,2760,4140
"Langedijk","tussenwoning",3350,2680,4020
"Lansingerland","tussenwoning",3650,2920,4380
"Laren (NH.)","tussenwoning",3000,2400,3600
"Leek","tussenwoning",2950,2360,3540
"Leerdam","tussenwoning",3050,2440,3660
"Leeuwarden","tussenwoning",2800,2240,3360
"Leeuwarderadeel","tussenwoning",2750,2200,3300
"Leiden","tussenwoning",3150,2520,3780
"Leiderdorp","tussenwoning",3500,2800,4200
"Leidschendam-Voorburg","tussenwoning",3500,2800,4200
"Lelystad","tussenwoning",3450,2760,4140
"Lemsterland","tussenwoning",2700,2160,3240
"Leudal","tussenwoning",3550,2840,4260
"Leusden","tussenwoning",3550,2840,4260
"Liesveld","tussenwoning",3100,2480,3720
"Lingewaal","tussenwoning",3200,2560,3840
"Lingewaard","tussenwoning",3300,2640,3960
"Lisse","tussenwoning",3450,2760,4140
"Littenseradiel","tussenwoning",2400,1920,2880
"Lochem","tussenwoning",2850,2280,3420
"Loon op Zand","tussenwoning",3400,2720,4080
"Lopik","tussenwoning",3500,2800,4200
"Loppersum","tussenwoning",2650,2120,3180
